mode,workers,episodes,sampling_time_s,aggregation_time_s,apply_time_s,total_time_s,finished_at_ts,finished_at,tb_log_dir
A,1,5000,166.3823483,1.550162554,5.091697693,182.3508394,1762401814,2025-11-06 13:03,runs\tb\A_w1_PARALLEL_LEARN
A,5,5000,104.6925051,0.858915806,1.096059561,110.0247529,1762401924,2025-11-06 13:05,runs\tb\A_w5_PARALLEL_LEARN
B,1,5000,50.3776226,9.246805191,11.64634252,76.53054976,1762402001,2025-11-06 13:06,runs\tb\B_w1_PARALLEL_LEARN
B,5,5000,19.21593332,1.048077345,1.300006151,26.17437625,1762402027,2025-11-06 13:07,runs\tb\B_w5_PARALLEL_LEARN
C,1,5000,55.33926177,8.041693211,14.54405808,85.19762039,1762401599,2025-11-06 12:59,runs\tb\C_w1_PARALLEL_LEARN
C,5,5000,22.45350862,1.153878212,2.398158312,31.43304896,1762401631,2025-11-06 13:00,runs\tb\C_w5_PARALLEL_LEARN
