ts,episode,return,length
1758194210,0,0.0,20
1758194210,1,0.0,20
1758194210,2,0.0,20
1758194210,3,0.0,20
1758194210,4,0.0,20
1758194476,0,0.0,20
1758194476,1,0.0,20
1758194476,2,0.0,20
1758194476,3,0.0,20
1758194476,4,0.0,20
1758195597,0,0.0,20
1758195597,1,0.0,20
1758195597,2,0.0,20
1758195597,3,0.0,20
1758195597,4,0.0,20
1758195967,0,0.0,20
1758195967,1,0.0,20
1758195967,2,0.0,20
1758195967,3,0.0,20
1758195967,4,0.0,20
